Locationid,RecipeName,PLU,Salesdate,Quantity,NetSalesPrice,CostPrice,Year,Month,Day,WeekDay,YearDay
405,Scoop of Raspberry Sorbet,4065,2017-03-04 00:00:00.000,3,0,0.206923076923077,2017,3,4,6,63
405,Scoop of Raspberry Sorbet,4065,2017-03-05 00:00:00.000,2,0,0.206923076923077,2017,3,5,0,64
405,Till Instructions,3423,2017-03-01 00:00:00.000,30,0,0.000696666666666667,2017,3,1,3,60
405,Till Instructions,3423,2017-03-02 00:00:00.000,21,0,0.000696666666666667,2017,3,2,4,61
405,Till Instructions,3423,2017-03-03 00:00:00.000,46,0,0.000696666666666667,2017,3,3,5,62
405,Till Instructions,3423,2017-03-04 00:00:00.000,85,0,0.000696666666666667,2017,3,4,6,63
405,Till Instructions,3423,2017-03-05 00:00:00.000,46,0,0.000696666666666667,2017,3,5,0,64
422,Melanzane Pasta,2318,2017-03-02 00:00:00.000,3,2.94333333333333,1.07989678913254,2017,3,2,4,61
422,Melanzane Pasta,2318,2017-03-04 00:00:00.000,3,4.25333333333333,1.07989678913254,2017,3,4,6,63
422,Melanzane Pasta,2318,2017-03-01 00:00:00.000,1,7.51,1.07989678913254,2017,3,1,3,60
422,Melanzane Pasta,2318,2017-03-03 00:00:00.000,2,8.83,1.07989678913254,2017,3,3,5,62
422,Melanzane Pasta,2318,2017-03-05 00:00:00.000,2,8.83,1.07989678913254,2017,3,5,0,64
422,Superboost Side Salad,3252,2017-03-02 00:00:00.000,2,2.085,0.749267788427406,2017,3,2,4,61
422,Superboost Side Salad,3252,2017-03-01 00:00:00.000,2,2.095,0.749267788427406,2017,3,1,3,60
422,Superboost Side Salad,3252,2017-03-04 00:00:00.000,2,2.695,0.749267788427406,2017,3,4,6,63
422,Extra Pine Kernals (20 Each),2133,2017-03-05 00:00:00.000,1,0,0.084014,2017,3,5,0,64
422,Extra Fresh Red Chilli (20g),2128,2017-03-03 00:00:00.000,1,0,0.133333333333333,2017,3,3,5,62
422,Extra Fresh Red Chilli (20g),2128,2017-03-04 00:00:00.000,2,0.685,0.133333333333333,2017,3,4,6,63
422,Extra Antipasto (2 servings),4037,2017-03-05 00:00:00.000,2,0.14,0.5084,2017,3,5,0,64
422,Extra Antipasto (2 servings),4037,2017-03-03 00:00:00.000,3,1.03,0.5084,2017,3,3,5,62
422,Extra Antipasto (2 servings),4037,2017-03-04 00:00:00.000,4,1.1675,0.5084,2017,3,4,6,63
422,No Nduja (30g),2051,2017-03-01 00:00:00.000,-1,0,0.2565,2017,3,1,3,60
422,Roasted Tomatoes,2537,2017-03-01 00:00:00.000,1,0,0.27079127977392,2017,3,1,3,60
422,Roasted Tomatoes,2537,2017-03-04 00:00:00.000,5,0.872,0.27079127977392,2017,3,4,6,63
422,Roasted Tomatoes,2537,2017-03-05 00:00:00.000,5,1.738,0.27079127977392,2017,3,5,0,64
422,Roasted Tomatoes,2537,2017-03-03 00:00:00.000,1,2.42,0.27079127977392,2017,3,3,5,62
422,Baileys Latte,2836,2017-03-01 00:00:00.000,1,1.12,0.683021071428571,2017,3,1,3,60
422,Decaf Cappuccino,2846,2017-03-02 00:00:00.000,2,1.04,0.21857,2017,3,2,4,61
260,No Fresh Red Chilli (10g),1921,2017-03-02 00:00:00.000,-1,0.4547,0.0666666666666667,2017,3,2,4,61
260,No Fresh Red Chilli (10g),1921,2017-03-01 00:00:00.000,-2,0.5978,0.0666666666666667,2017,3,1,3,60
260,No Egg (1 Each),1919,2017-03-03 00:00:00.000,-1,0.174,0.161,2017,3,3,5,62
260,No Salmon Fillet (1 each),3636,2017-03-01 00:00:00.000,0,0,1.4616,2017,3,1,3,60
260,No Red Pepper (15g),2079,2017-03-02 00:00:00.000,-1,0.2507,0.0399350649350649,2017,3,2,4,61
260,Vanilla Latte,2870,2017-03-04 00:00:00.000,1,2.5832,0.280969046391753,2017,3,4,6,63
260,Vanilla Latte,2870,2017-03-03 00:00:00.000,2,2.5834,0.280969046391753,2017,3,3,5,62
260,Vanilla Latte,2870,2017-03-01 00:00:00.000,1,2.5835,0.280969046391753,2017,3,1,3,60
260,Vanilla Syrup,2871,2017-03-04 00:00:00.000,0,0,0.0550515463917526,2017,3,4,6,63
260,Baileys 50ml,2395,2017-03-05 00:00:00.000,1,2.8329,0.882857142857143,2017,3,5,0,64
260,Baileys 50ml,2395,2017-03-03 00:00:00.000,1,2.833,0.882857142857143,2017,3,3,5,62
260,Glenfiddich 25ml,2384,2017-03-01 00:00:00.000,4,1.4175,0.839642857142857,2017,3,1,3,60
260,Veneziana Classic,2249,2017-03-02 00:00:00.000,1,0,0.593761664435714,2017,3,2,4,61
260,Veneziana Classic,2249,2017-03-03 00:00:00.000,1,6.7863,0.593761664435714,2017,3,3,5,62
260,Veneziana Classic,2249,2017-03-04 00:00:00.000,1,7.9587,0.593761664435714,2017,3,4,6,63
260,Pollo Ad Astra Classic,2233,2017-03-04 00:00:00.000,1,0,0.887105747762182,2017,3,4,6,63
260,Pollo Ad Astra Classic,2233,2017-03-01 00:00:00.000,3,3.3335,0.887105747762182,2017,3,1,3,60
260,Pollo Ad Astra Classic,2233,2017-03-03 00:00:00.000,2,8.017,0.887105747762182,2017,3,3,5,62
260,Pollo Ad Astra Classic,2233,2017-03-05 00:00:00.000,2,9.99935,0.887105747762182,2017,3,5,0,64
260,Pollo Ad Astra Classic,2233,2017-03-02 00:00:00.000,3,10.0008333333333,0.887105747762182,2017,3,2,4,61
260,Pollo Ad Astra GF,2235,2017-03-04 00:00:00.000,1,0,1.41679824776218,2017,3,4,6,63
260,Pollo Ad Astra GF,2235,2017-03-01 00:00:00.000,2,9.7126,1.41679824776218,2017,3,1,3,60
260,Pollo Ad Astra GF,2235,2017-03-05 00:00:00.000,3,9.99866666666667,1.41679824776218,2017,3,5,0,64
260,Soho Romana,2248,2017-03-02 00:00:00.000,1,9.1666,1.17335539819954,2017,3,2,4,61
260,Soho Romana,2248,2017-03-01 00:00:00.000,2,10.31215,1.17335539819954,2017,3,1,3,60
260,Soho Romana,2248,2017-03-05 00:00:00.000,4,11.45875,1.17335539819954,2017,3,5,0,64
260,Soho Romana,2248,2017-03-04 00:00:00.000,1,11.4594,1.17335539819954,2017,3,4,6,63
260,Kid's PMP,2945,2017-03-04 00:00:00.000,16,9.9581375,1.78486227856291,2017,3,4,6,63
260,Kid's PMP,2945,2017-03-05 00:00:00.000,13,9.95822307692308,1.78486227856291,2017,3,5,0,64
260,Dolcetti Lemon Posset,2664,2017-03-03 00:00:00.000,0,0,0.290320512820513,2017,3,3,5,62
260,Dolcetti Lemon Posset,2664,2017-03-01 00:00:00.000,2,1.19375,0.290320512820513,2017,3,1,3,60
260,Dolcetti Lemon Posset,2664,2017-03-04 00:00:00.000,1,2.5412,0.290320512820513,2017,3,4,6,63
260,Dolcetti Lemon Posset,2664,2017-03-05 00:00:00.000,1,4.1662,0.290320512820513,2017,3,5,0,64
260,Dolcetti Profiteroles,2661,2017-03-01 00:00:00.000,2,2.95055,0.460603238866397,2017,3,1,3,60
260,Dolcetti Profiteroles,2661,2017-03-04 00:00:00.000,3,3.05413333333333,0.460603238866397,2017,3,4,6,63
260,Dolcetti Profiteroles,2661,2017-03-03 00:00:00.000,3,3.6524,0.460603238866397,2017,3,3,5,62
260,Dolcetti Profiteroles,2661,2017-03-05 00:00:00.000,1,3.6974,0.460603238866397,2017,3,5,0,64
260,Sauvignon Blanc 250ml,2459,2017-03-04 00:00:00.000,4,6.749925,1.66833333333333,2017,3,4,6,63
260,Sauvignon Blanc 250ml,2459,2017-03-02 00:00:00.000,1,6.75,1.66833333333333,2017,3,2,4,61
260,Sauvignon Blanc 250ml,2459,2017-03-03 00:00:00.000,2,6.75,1.66833333333333,2017,3,3,5,62
